RbfoptSettings:
algorithm: MSRSM, debug: False, discarded_window_size: 30, do_infstep: False, do_local_search: True, domain_scaling: auto, dynamism_clipping: auto, dynamism_threshold: 1000.0, eps_impr: 0.0001, eps_linear_dependence: 1e-06, eps_opt: 0.01, eps_zero: 1e-15, function_scaling: auto, ga_base_population_size: 400, ga_num_generations: 20, global_search_method: genetic, init_include_midpoint: True, init_sample_fraction: -1.0, init_sample_increase_parallel: 0.05, init_strategy: lhd_maximin, local_search_box_scaling: 0.5, local_search_threshold: 0.25, log_scaling_threshold: 1000000.0, max_clock_time: 1e+30, max_consecutive_refinement: 5, max_consecutive_restoration: 15, max_cross_validations: 50, max_cycles: 1000, max_evaluations: 300, max_fraction_discarded: 0.5, max_iterations: 200, max_noisy_evaluations: 200, max_noisy_iterations: 200, max_noisy_restarts: 2, max_random_init: 50, max_stalled_iterations: 100, min_dist: 1e-05, minlp_solver_path: .\bonmin.exe, modified_msrsm_score: True, nlp_solver_path: .\ipopt.exe, num_cpus: 1, num_global_searches: 5, num_samples_aux_problems: 1000, parallel_wakeup_time: 0.1, print_solver_output: False, rand_seed: 937627691, rbf: auto, rbf_shape_parameter: 0.1, ref_acceptable_decrease_enlarge: 0.6, ref_acceptable_decrease_move: 0.1, ref_acceptable_decrease_shrink: 0.2, ref_init_radius_multiplier: 2.0, ref_min_grad_norm: 0.01, ref_min_radius: 0.001, ref_num_integer_candidates: 10, refinement_frequency: 3, save_state_file: ../logs/rbfoptstate.txt, save_state_interval: 2, target_objval: -10000000000.0, targetval_clipping: True, thresh_unlimited_refinement: 0.9, thresh_unlimited_refinement_stalled: 0.9

  Iter  Cycle  Action             Objective value      Time      Gap
  ----  -----  ------             ---------------      ----      ---
     0      0  Initialization        16427.000000   1376.37   100.00  
     0      0  Initialization        16353.000000   1376.37   100.00 *
     0      0  Initialization        17585.000000   1376.37   100.00  
     0      0  Initialization        18897.000000   1376.37   100.00  
     0      0  Initialization        17858.000000   1376.37   100.00  
     0      0  Initialization        44838.000000   1376.37   100.00  
     0      0  Initialization        16981.000000   1376.37   100.00  
     0      0  Initialization        26412.000000   1376.37   100.00  
     0      0  Initialization        16689.000000   1376.37   100.00  
     0      0  Initialization        23820.000000   1376.37   100.00  
     0      0  Initialization        16475.000000   1376.37   100.00  
     0      0  Initialization        16699.000000   1376.37   100.00  
     0      0  Initialization        16524.000000   1376.37   100.00  
     0      0  GlobalStep            16620.000000   1464.87   100.00  
     1      0  GlobalStep            40484.000000   1668.95   100.00  
     2      0  GlobalStep            16679.000000   1757.02   100.00  
     3      0  GlobalStep            16734.000000   1845.69   100.00  
     4      0  GlobalStep            16704.000000   1933.28   100.00  
     5      0  AdjLocalStep          16887.000000   2022.36   100.00  
     6      1  GlobalStep            16804.000000   2110.24   100.00  
     7      1  GlobalStep            16804.000000   2197.81   100.00  
     8      1  GlobalStep            17471.000000   2290.13   100.00  
     9      1  GlobalStep            16550.000000   2377.68   100.00  
    10      1  GlobalStep            16402.000000   2464.41   100.00  
    11      1  AdjLocalStep          16538.000000   2551.65   100.00  
    12      2  GlobalStep            16691.000000   2640.63   100.00  
    13      2  GlobalStep            39143.000000   2837.38   100.00  
    14      2  GlobalStep            16732.000000   2925.84   100.00  
    15      2  GlobalStep            16673.000000   3013.53   100.00  
    16      2  GlobalStep            16467.000000   3101.05   100.00  
    17      2  AdjLocalStep          16360.000000   3187.28   100.00  
    18      2  RefinementStep        16444.000000   3274.58   100.00  
    19      2  RefinementStep        16484.000000   3361.20   100.00  
    20      2  RefinementStep        16433.000000   3447.49   100.00  
    21      2  RefinementStep        16360.000000   3534.26   100.00  
    22      2  RefinementStep        16350.000000   3620.14   100.00 *
    23      3  GlobalStep            16845.000000   3708.97   100.00  
    24      3  GlobalStep            16932.000000   3798.38   100.00  
    25      3  GlobalStep            17539.000000   3890.49   100.00  
    26      3  GlobalStep            16471.000000   3977.22   100.00  
    27      3  GlobalStep            16572.000000   4064.54   100.00  
    28      3  AdjLocalStep          16501.000000   4151.57   100.00  
    29      4  GlobalStep            16707.000000   4239.99   100.00  
    30      4  GlobalStep            16908.000000   4330.86   100.00  
    31      4  GlobalStep            16485.000000   4418.17   100.00  
    32      4  GlobalStep            16520.000000   4505.78   100.00  
    33      4  GlobalStep            16552.000000   4593.42   100.00  
    34      4  AdjLocalStep          16439.000000   4680.73   100.00  
    35      5  GlobalStep            17303.000000   4772.62   100.00  
    36      5  GlobalStep            16572.000000   4860.77   100.00  
